step,learning_rate
0,0.0
1,3e-07
2,6e-07
3,9e-07
4,1.2e-06
5,1.4999999999999998e-06
6,1.8e-06
7,2.1e-06
8,2.4e-06
9,2.6999999999999996e-06
10,2.9999999999999997e-06
11,3.2999999999999993e-06
12,3.6e-06
13,3.899999999999999e-06
14,4.2e-06
15,4.499999999999999e-06
16,4.8e-06
17,5.1e-06
18,5.399999999999999e-06
19,5.7e-06
20,5.999999999999999e-06
21,6.3e-06
22,6.599999999999999e-06
23,6.899999999999999e-06
24,7.2e-06
25,7.499999999999999e-06
26,7.799999999999998e-06
27,8.099999999999999e-06
28,8.4e-06
29,8.7e-06
30,8.999999999999999e-06
31,9.299999999999999e-06
32,9.6e-06
33,9.9e-06
34,1.02e-05
35,1.05e-05
36,1.0799999999999998e-05
37,1.1099999999999999e-05
38,1.14e-05
39,1.17e-05
40,1.1999999999999999e-05
41,1.2299999999999999e-05
42,1.26e-05
43,1.2899999999999998e-05
44,1.3199999999999997e-05
45,1.3499999999999998e-05
46,1.3799999999999998e-05
47,1.4099999999999999e-05
48,1.44e-05
49,1.47e-05
50,1.4999999999999999e-05
51,1.53e-05
52,1.5599999999999996e-05
53,1.5899999999999997e-05
54,1.6199999999999997e-05
55,1.6499999999999998e-05
56,1.68e-05
57,1.71e-05
58,1.74e-05
59,1.7699999999999997e-05
60,1.7999999999999997e-05
61,1.8299999999999998e-05
62,1.8599999999999998e-05
63,1.89e-05
64,1.92e-05
65,1.95e-05
66,1.98e-05
67,2.01e-05
68,2.04e-05
69,2.07e-05
70,2.1e-05
71,2.1299999999999996e-05
72,2.1599999999999996e-05
73,2.1899999999999997e-05
74,2.2199999999999998e-05
75,2.2499999999999998e-05
76,2.28e-05
77,2.31e-05
78,2.34e-05
79,2.3699999999999997e-05
80,2.3999999999999997e-05
81,2.4299999999999998e-05
82,2.4599999999999998e-05
83,2.49e-05
84,2.52e-05
85,2.55e-05
86,2.5799999999999997e-05
87,2.6099999999999997e-05
88,2.6399999999999995e-05
89,2.6699999999999995e-05
90,2.6999999999999996e-05
91,2.7299999999999996e-05
92,2.7599999999999997e-05
93,2.7899999999999997e-05
94,2.8199999999999998e-05
95,2.8499999999999998e-05
96,2.88e-05
97,2.91e-05
98,2.94e-05
99,2.97e-05
100,2.9999999999999997e-05
101,3.0299999999999998e-05
102,3.06e-05
103,3.09e-05
104,3.119999999999999e-05
105,3.149999999999999e-05
106,3.1799999999999994e-05
107,3.2099999999999994e-05
108,3.2399999999999995e-05
109,3.2699999999999995e-05
110,3.2999999999999996e-05
111,3.3299999999999996e-05
112,3.36e-05
113,3.39e-05
114,3.42e-05
115,3.45e-05
116,3.48e-05
117,3.51e-05
118,3.539999999999999e-05
119,3.5699999999999994e-05
120,3.5999999999999994e-05
121,3.6299999999999995e-05
122,3.6599999999999995e-05
123,3.6899999999999996e-05
124,3.7199999999999996e-05
125,3.75e-05
126,3.78e-05
127,3.81e-05
128,3.84e-05
129,3.87e-05
130,3.9e-05
131,3.93e-05
132,3.96e-05
133,3.99e-05
134,4.02e-05
135,4.05e-05
136,4.08e-05
137,4.11e-05
138,4.14e-05
139,4.17e-05
140,4.2e-05
141,4.229999999999999e-05
142,4.259999999999999e-05
143,4.289999999999999e-05
144,4.319999999999999e-05
145,4.3499999999999993e-05
146,4.3799999999999994e-05
147,4.4099999999999995e-05
148,4.4399999999999995e-05
149,4.4699999999999996e-05
150,4.4999999999999996e-05
151,4.5299999999999997e-05
152,4.56e-05
153,4.59e-05
154,4.62e-05
155,4.65e-05
156,4.68e-05
157,4.709999999999999e-05
158,4.7399999999999993e-05
159,4.7699999999999994e-05
160,4.7999999999999994e-05
161,4.8299999999999995e-05
162,4.8599999999999995e-05
163,4.8899999999999996e-05
164,4.9199999999999997e-05
165,4.95e-05
166,4.98e-05
167,5.01e-05
168,5.04e-05
169,5.07e-05
170,5.1e-05
171,5.13e-05
172,5.1599999999999994e-05
173,5.1899999999999994e-05
174,5.2199999999999995e-05
175,5.2499999999999995e-05
176,5.279999999999999e-05
177,5.309999999999999e-05
178,5.339999999999999e-05
179,5.369999999999999e-05
180,5.399999999999999e-05
181,5.429999999999999e-05
182,5.459999999999999e-05
183,5.489999999999999e-05
184,5.519999999999999e-05
185,5.5499999999999994e-05
186,5.5799999999999994e-05
187,5.6099999999999995e-05
188,5.6399999999999995e-05
189,5.6699999999999996e-05
190,5.6999999999999996e-05
191,5.73e-05
192,5.76e-05
193,5.79e-05
194,5.82e-05
195,5.85e-05
196,5.88e-05
197,5.91e-05
198,5.94e-05
199,5.97e-05
200,5.9999999999999995e-05
201,6.0299999999999995e-05
202,6.0599999999999996e-05
203,6.0899999999999996e-05
204,6.12e-05
205,6.149999999999999e-05
206,6.18e-05
207,6.209999999999999e-05
208,6.239999999999999e-05
209,6.269999999999999e-05
210,6.299999999999999e-05
211,6.33e-05
212,6.359999999999999e-05
213,6.39e-05
214,6.419999999999999e-05
215,6.45e-05
216,6.479999999999999e-05
217,6.51e-05
218,6.539999999999999e-05
219,6.57e-05
220,6.599999999999999e-05
221,6.63e-05
222,6.659999999999999e-05
223,6.69e-05
224,6.72e-05
225,6.75e-05
226,6.78e-05
227,6.81e-05
228,6.84e-05
